District,Building name,Last date of visit of the case(s),Related cases
Kwai Tsing,"Block 2, Kwai Chung Plaza",27/12/2022,
Kwai Tsing,"Nga Kwai House, Kwai Chung Estate",27/12/2022,
Kwai Tsing,"Shing Wo House, Kwai Shing East Estate",27/12/2022,
Kwai Tsing,"Shing Ka House, Kwai Shing East Estate",27/12/2022,
Kwai Tsing,"Block 3, Kwai Shing West Estate",27/12/2022,
Kwai Tsing,"Hing Yat House, Kwai Hing Estate",27/12/2022,
Kwai Tsing,"Kwai Yan House, Kwai Fong Estate",27/12/2022,
Kwai Tsing,"Kwai Tak House, Kwai Fong Estate",27/12/2022,
Kwai Tsing,"Kwai Oi House, Kwai Fong Estate",27/12/2022,
Kwai Tsing,Kwai Fung House,27/12/2022,
Kwai Tsing,Kwai Dao Building,27/12/2022,
Kwai Tsing,"Tower 1, Rambler Crest",27/12/2022,
Kwai Tsing,"Tower 6, Rambler Crest",27/12/2022,
Kwai Tsing,Kam Luk Building,27/12/2022,
Kwai Tsing,Kam Wah Building,27/12/2022,
Kwai Tsing,"Hang Chui House, Cheung Hang Estate",27/12/2022,
Kwai Tsing,"Wang Man House, Cheung Wang Estate",27/12/2022,
Kwai Tsing,"Hong Shing House, Cheung Hong Estate",27/12/2022,
Kwai Tsing,"Chun Fat House, Cheung Fat Estate",27/12/2022,
Kwai Tsing,"Ching Tao House, Cheung Ching Estate",27/12/2022,
Kwai Tsing,"Block 1, Tsing Yi Garden",27/12/2022,
Kwai Tsing,"Block 4, Tsing Yi Garden",27/12/2022,
Kwai Tsing,"Block 6, Tsing Yi Garden",27/12/2022,
Kwai Tsing,"Wah Yan House, Ching Wah Court",27/12/2022,
Kwai Tsing,"Wah Cheung House, Ching Wah Court",27/12/2022,
Kwai Tsing,"Tower 1, Easeful Court",27/12/2022,
Kwai Tsing,"Fu Yiu House, Lai Yiu Estate",27/12/2022,
Kwai Tsing,Kwong Fai Building,26/12/2022,
Kwai Tsing,"Block B, Hutchison Estate",26/12/2022,
Kwai Tsing,"Fu Kwai House, Tai Wo Hau Estate",26/12/2022,
Kwai Tsing,Po Sing Centre,26/12/2022,
Kwai Tsing,Lion Building,26/12/2022,
Kwai Tsing,"Shek Chun House, Shek Lei Estate",26/12/2022,
Kwai Tsing,Mai Fung Building,26/12/2022,
Kwai Tsing,"Ming King House, Lai King Estate",26/12/2022,
Kwai Tsing,"Wah Yan Court, Wah Yuen Chuen",26/12/2022,
Kwai Tsing,"Block 16, Wonderland Villas",26/12/2022,
Kwai Tsing,"Kwai Cheong House, Kwai Chun Court",26/12/2022,
Kwai Tsing,"Kwai Fung House, Kwai Chun Court",26/12/2022,
Kwai Tsing,Kwai Wo Building,26/12/2022,
Kwai Tsing,"Shing Fung House, Kwai Shing East Estate",26/12/2022,
Kwai Tsing,"Block 2, Kwai Shing West Estate",26/12/2022,
Kwai Tsing,"Block 1, Kwai Fong Terrace",26/12/2022,
Kwai Tsing,"Kwai Yee House, Kwai Yin Court",26/12/2022,
Kwai Tsing,"Kwai Him House, Kwai Yin Court",26/12/2022,
Kwai Tsing,Kwai Lai Building,26/12/2022,
Kwai Tsing,Kwai Loong Building,26/12/2022,
Kwai Tsing,Victory Court,26/12/2022,
Kwai Tsing,"Hong Kwai House, Cheung Hong Estate",26/12/2022,
Kwai Tsing,"Block A, Tsing Yi Police Married Quarters",26/12/2022,
Kwai Tsing,"Shing Yam House, On Yam Estate",25/12/2022,
Kwai Tsing,Hotel Cozi. Oasis,25/12/2022,
Kwai Tsing,Cheong Li Building,25/12/2022,
Kwai Tsing,"Block B, Phase 1, Greenwood Villas",25/12/2022,
Kwai Tsing,Mexan Harbour Hotel,25/12/2022,
Kwai Tsing,"Shek Tai House, Shek Lei Estate",25/12/2022,
Kwai Tsing,"Wah Shun Court, Wah Yuen Chuen",25/12/2022,
Kwai Tsing,"Wah Chi Court, Wah Yuen Chuen",25/12/2022,
Kwai Tsing,"Wah Lai Court, Wah Yuen Chuen",25/12/2022,
Kwai Tsing,"Block 21, Wonderland Villas",25/12/2022,
Kwai Tsing,"Block B, Wah Tat Industrial Centre",25/12/2022,
Kwai Tsing,"Kwai Yat House, Kwai Hong Court",25/12/2022,
Kwai Tsing,"Hiu Kwai House, Kwai Chung Estate",25/12/2022,
Kwai Tsing,"Pak Kwai House, Kwai Chung Estate",25/12/2022,
Kwai Tsing,Kwai Ying Building,25/12/2022,
Kwai Tsing,Kam Pui Building,25/12/2022,
Kwai Tsing,"Hang Yip House, Cheung Hang Estate",25/12/2022,
Kwai Tsing,Tsing Fai New Village,25/12/2022,
Kwai Tsing,Yau Ming Building,24/12/2022,
Kwai Tsing,Ming Tak Building,24/12/2022,
Kwai Tsing,"Lai Hung House, Yuet Lai Court",24/12/2022,
Kwai Tsing,Man Shing Building,24/12/2022,
Kwai Tsing,Kwai Po Building,24/12/2022,
Kwai Tsing,"Yan Kwai House, Kwai Chung Estate",24/12/2022,
Kwai Tsing,"Block 10, Kwai Shing West Estate",24/12/2022,
Kwai Tsing,Yim Tin Kok Resite Village,24/12/2022,
Kwai Tsing,Kau Wa Keng New Village,23/12/2022,
Kwai Tsing,Ming Tong Building,23/12/2022,
Kwai Tsing,Victory Garden,23/12/2022,
Kwai Tsing,Hotel Ease . Tsuen Wan,23/12/2022,
Kwai Tsing,"Block 9, Mayfair Gardens",23/12/2022,
Kwai Tsing,Wah Fat Industrial Building,23/12/2022,
Kwai Tsing,"Block 10, Wonderland Villas",23/12/2022,
Kwai Tsing,"Block 14, Wonderland Villas",23/12/2022,
Kwai Tsing,Kwai Fat Building,23/12/2022,
Kwai Tsing,Edition 178,23/12/2022,
Kwai Tsing,Tak Tai Court,22/12/2022,
Kwai Tsing,"Tower 1, Regency Park",22/12/2022,
Kwai Tsing,"Block 3, Wonderland Villas",22/12/2022,
Kwai Tsing,So Tao Centre,22/12/2022,
Kwun Tong,Ocean One,28/12/2022,
Kwun Tong,"Tower 2, Peninsula East",28/12/2022,
Kwun Tong,Yan On Mansion,28/12/2022,
Kwun Tong,Yen Fu Mansion,28/12/2022,
Kwun Tong,Kai King Building,28/12/2022,
Kwun Tong,"Tower 1, Grand Central",28/12/2022,
Kwun Tong,"Tower 2, Grand Central",28/12/2022,
Kwun Tong,"Tower 3, Grand Central",28/12/2022,
Kwun Tong,"Tower 5, Grand Central",28/12/2022,
Kwun Tong,"Block A, Lee Kee Building",28/12/2022,
Kwun Tong,"Block C, Lee Kee Building",28/12/2022,
Kwun Tong,"Block 10, Sceneway Garden",28/12/2022,
Kwun Tong,"Block 11, Sceneway Garden",28/12/2022,
Kwun Tong,"Block 12, Sceneway Garden",28/12/2022,
Kwun Tong,"Block 14, Sceneway Garden",28/12/2022,
Kwun Tong,"Block 16, Sceneway Garden",28/12/2022,
Kwun Tong,"Block 17, Sceneway Garden",28/12/2022,
Kwun Tong,"Block 1, Sceneway Garden",28/12/2022,
Kwun Tong,"Block 2, Sceneway Garden",28/12/2022,
Kwun Tong,"Block 3, Sceneway Garden",28/12/2022,
Kwun Tong,"Block 4, Sceneway Garden",28/12/2022,
Kwun Tong,"Block 5, Sceneway Garden",28/12/2022,
Kwun Tong,"Block 6, Sceneway Garden",28/12/2022,
Kwun Tong,"Block 7, Sceneway Garden",28/12/2022,
Kwun Tong,"Block 8, Sceneway Garden",28/12/2022,
Kwun Tong,Hip Wo House,28/12/2022,
Kwun Tong,"Block B, Hipway Towers",28/12/2022,
Kwun Tong,Unify Commercial-Industrial Building,28/12/2022,
Kwun Tong,Hopewell House,28/12/2022,
Kwun Tong,"Fu On House, Wo Lok Estate",28/12/2022,
Kwun Tong,"Kui On House, Wo Lok Estate",28/12/2022,
Kwun Tong,"Man On House, Wo Lok Estate",28/12/2022,
Kwun Tong,"Tai On House, Wo Lok Estate",28/12/2022,
Kwun Tong,"Yee On House, Wo Lok Estate",28/12/2022,
Kwun Tong,Kai Tak House,28/12/2022,
Kwun Tong,"Kai Ning House, Kai Yip Estate",28/12/2022,
Kwun Tong,"Kai Lok House, Kai Yip Estate",28/12/2022,
Kwun Tong,"Kai Shing House, Kai Yip Estate",28/12/2022,
Kwun Tong,"Kai Cheung House, Kai Yip Estate",28/12/2022,
Kwun Tong,"Kai Yue House, Kai Yip Estate",28/12/2022,
Kwun Tong,"Kai Fan House, Kai Tai Court",28/12/2022,
Kwun Tong,"Kai On House, Kai Tai Court",28/12/2022,
Kwun Tong,"Kai Yan House, Kai Tin Estate",28/12/2022,
Kwun Tong,"Kai Shun House, Kai Tin Estate",28/12/2022,
Kwun Tong,"Kai Wong House, Kai Tin Estate",28/12/2022,
Kwun Tong,"Ka Yan Building, Jade Field Garden",28/12/2022,
Kwun Tong,"Ka Yin Mansion, Jade Field Garden",28/12/2022,
Kwun Tong,"Hung Shek House, Ping Shek Estate",28/12/2022,
Kwun Tong,"Tsui Shek House, Ping Shek Estate",28/12/2022,
Kwun Tong,"Lam Shek House, Ping Shek Estate",28/12/2022,
Kwun Tong,"Kam Shek House, Ping Shek Estate",28/12/2022,
Kwun Tong,"Wong Shek House, Ping Shek Estate",28/12/2022,
Kwun Tong,Dor Hei Building,28/12/2022,
Kwun Tong,"Kay Yan House, On Kay Court",28/12/2022,
Kwun Tong,"Kay Shun House, On Kay Court",28/12/2022,
Kwun Tong,"Kay Hong House, On Kay Court",28/12/2022,
Kwun Tong,"Wo Tai House, On Tai Estate",28/12/2022,
Kwun Tong,"Kui Tai House, On Tai Estate",28/12/2022,
Kwun Tong,"Tak Tai House, On Tai Estate",28/12/2022,
Kwun Tong,"Hang Tai House, On Tai Estate",28/12/2022,
Kwun Tong,"Ming Tai House, On Tai Estate",28/12/2022,
Kwun Tong,"King Tai House, On Tai Estate",28/12/2022,
Kwun Tong,"Chi Tai House, On Tai Estate",28/12/2022,
Kwun Tong,"Shing Tai House, On Tai Estate",28/12/2022,
Kwun Tong,"Fung Tai House, On Tai Estate",28/12/2022,
Kwun Tong,"Kam Tai House, On Tai Estate",28/12/2022,
Kwun Tong,"On Kin House, On Tin Estate",28/12/2022,
Kwun Tong,"On Lai House, On Tin Estate",28/12/2022,
Kwun Tong,"Yan Tat House, On Tat Estate",28/12/2022,
Kwun Tong,"Chun Tat House, On Tat Estate",28/12/2022,
Kwun Tong,"Sin Tat House, On Tat Estate",28/12/2022,
Kwun Tong,"Hau Tat House, On Tat Estate",28/12/2022,
Kwun Tong,"Oi Tat House, On Tat Estate",28/12/2022,
Kwun Tong,"Chi Tat House, On Tat Estate",28/12/2022,
Kwun Tong,"Ching Tat House, On Tat Estate",28/12/2022,
Kwun Tong,"Lai Tat House, On Tat Estate",28/12/2022,
Kwun Tong,"Shing Tat House, On Tat Estate",28/12/2022,
Kwun Tong,"Him Tat House, On Tat Estate",28/12/2022,
Kwun Tong,"Yin Tat House, On Tat Estate",28/12/2022,
Kwun Tong,"Block A, Wang Kwong Building",28/12/2022,
Kwun Tong,"Block B, Wang Kwong Building",28/12/2022,
Kwun Tong,"Block C, Wang Kwong Building",28/12/2022,
Kwun Tong,Ting On Building,28/12/2022,
Kwun Tong,Yee On Centre,28/12/2022,
Kwun Tong,"Peony Court, Fulrich Garden",28/12/2022,
Kwun Tong,Bo Fung Building,28/12/2022,
Kwun Tong,"Po Shan House, Po Pui Court",28/12/2022,
Kwun Tong,"Po Wu House, Po Pui Court",28/12/2022,
Kwun Tong,"Po Ying House, Po Pui Court",28/12/2022,
Kwun Tong,"Po Yiu House, Po Pui Court",28/12/2022,
Kwun Tong,"Po Chui House, Po Pui Court",28/12/2022,
Kwun Tong,"Tat Kai House, Po Tat Estate",28/12/2022,
Kwun Tong,"Tat Shun House, Po Tat Estate",28/12/2022,
Kwun Tong,"Tat Hei House, Po Tat Estate",28/12/2022,
Kwun Tong,"Tat Fu House, Po Tat Estate",28/12/2022,
Kwun Tong,"Tat Fung House, Po Tat Estate",28/12/2022,
Kwun Tong,"Tat Hong House, Po Tat Estate",28/12/2022,
Kwun Tong,"Tat Yi House, Po Tat Estate",28/12/2022,
Kwun Tong,"Tat Yan House, Po Tat Estate",28/12/2022,
Kwun Tong,"Tat Chui House, Po Tat Estate",28/12/2022,
Kwun Tong,"Tat Kwai House, Po Tat Estate",28/12/2022,
Kwun Tong,"Tat Hin House, Po Tat Estate",28/12/2022,
Kwun Tong,"Ping Yan House, Ping Tin Estate",28/12/2022,
Kwun Tong,"Ping Shun House, Ping Tin Estate",28/12/2022,
Kwun Tong,"Ping Sin House, Ping Tin Estate",28/12/2022,
Kwun Tong,"Ping Wong House, Ping Tin Estate",28/12/2022,
Kwun Tong,"Ping Chun House, Ping Tin Estate",28/12/2022,
Kwun Tong,"Ping Mei House, Ping Tin Estate",28/12/2022,
Kwun Tong,"Ping Shing House, Ping Tin Estate",28/12/2022,
Kwun Tong,Hong Ning Building,28/12/2022,
Kwun Tong,"Chung Pak House, Hong Pak Court",28/12/2022,
Kwun Tong,"Wing Pak House, Hong Pak Court",28/12/2022,
Kwun Tong,"Yan Pak House, Hong Pak Court",28/12/2022,
Kwun Tong,"Shui Pak House, Hong Pak Court",28/12/2022,
Kwun Tong,"Cheung Pak House, Hong Pak Court",28/12/2022,
Kwun Tong,"Kam Pak House, Hong Pak Court",28/12/2022,
Kwun Tong,"Lung Pak House, Hong Pak Court",28/12/2022,
Kwun Tong,"Block A, Hamden Court",28/12/2022,
Kwun Tong,Hong Shui Court,28/12/2022,
Kwun Tong,"Wo Hong House, Hong Tin Court",28/12/2022,
Kwun Tong,"Kei Hong House, Hong Tin Court",28/12/2022,
Kwun Tong,"Yue Hong House, Hong Tin Court",28/12/2022,
Kwun Tong,Hong Ying Court,28/12/2022,
Kwun Tong,"Wang Hong House, Hong Wah Court",28/12/2022,
Kwun Tong,"Yee Hong House, Hong Wah Court",28/12/2022,
Kwun Tong,"Chung Hong House, Hong Wah Court",28/12/2022,
Kwun Tong,"Hong Nin House, Hong Yat Court",28/12/2022,
Kwun Tong,"Hong Ting House, Hong Yat Court",28/12/2022,
Kwun Tong,"Hong King House, Hong Yat Court",28/12/2022,
Kwun Tong,"Hong Lai House, Hong Yat Court",28/12/2022,
Kwun Tong,"Heng Nga House, Hong Nga Court",28/12/2022,
Kwun Tong,"Tao Nga House, Hong Nga Court",28/12/2022,
Kwun Tong,"Lai Nga House, Hong Nga Court",28/12/2022,
Kwun Tong,"Kwong Hin House, Kwong Tin Estate",28/12/2022,
Kwun Tong,"Kwong Yat House, Kwong Tin Estate",28/12/2022,
Kwun Tong,"Kwong Ngar House, Kwong Tin Estate",28/12/2022,
Kwun Tong,"Kwong Ching House, Kwong Tin Estate",28/12/2022,
Kwun Tong,Kin Tai House,28/12/2022,
Kwun Tong,"Choi Leung House, Choi Tak Estate",28/12/2022,
Kwun Tong,"Choi Yan House, Choi Tak Estate",28/12/2022,
Kwun Tong,"Choi Chun House, Choi Tak Estate",28/12/2022,
Kwun Tong,"Choi Shun House, Choi Tak Estate",28/12/2022,
Kwun Tong,"Choi King House, Choi Tak Estate",28/12/2022,
Kwun Tong,"Choi Yee House, Choi Tak Estate",28/12/2022,
Kwun Tong,"Choi Shing House, Choi Tak Estate",28/12/2022,
Kwun Tong,"Ying On House, Choi Ying Estate",28/12/2022,
Kwun Tong,"Ying Fu House, Choi Ying Estate",28/12/2022,
Kwun Tong,"Ying Hong House, Choi Ying Estate",28/12/2022,
Kwun Tong,"Ying Lok House, Choi Ying Estate",28/12/2022,
Kwun Tong,"Ying Shun House, Choi Ying Estate",28/12/2022,
Kwun Tong,"Choi Wo House, Choi Fook Estate",28/12/2022,
Kwun Tong,"Choi Sin House, Choi Fook Estate",28/12/2022,
Kwun Tong,"Choi Hay House, Choi Fook Estate",28/12/2022,
Kwun Tong,"Choi Lok House, Choi Fook Estate",28/12/2022,
Kwun Tong,"Choi Foon House, Choi Fook Estate",28/12/2022,
Kwun Tong,"Choi Huen House, Choi Hing Court",28/12/2022,
Kwun Tong,"Choi Kiu House, Choi Hing Court",28/12/2022,
Kwun Tong,"Choi Wui House, Choi Hing Court",28/12/2022,
Kwun Tong,"Choi Sing House, Choi Ha Estate",28/12/2022,
Kwun Tong,"Choi Yuet House, Choi Ha Estate",28/12/2022,
Kwun Tong,"Block A, Cheerful Court",28/12/2022,
Kwun Tong,"Block A, Tak Bo Garden",28/12/2022,
Kwun Tong,"Block B, Tak Bo Garden",28/12/2022,
Kwun Tong,"Block C, Tak Bo Garden",28/12/2022,
Kwun Tong,"Block D, Tak Bo Garden",28/12/2022,
Kwun Tong,"Block E, Tak Bo Garden",28/12/2022,
Kwun Tong,"Block F, Tak Bo Garden",28/12/2022,
Kwun Tong,"Block G, Tak Bo Garden",28/12/2022,
Kwun Tong,"Block H, Tak Bo Garden",28/12/2022,
Kwun Tong,"Tak Lok House, Tak Tin Estate",28/12/2022,
Kwun Tong,"Tak Yan House, Tak Tin Estate",28/12/2022,
Kwun Tong,"Tak Shui House, Tak Tin Estate",28/12/2022,
Kwun Tong,"Tak Shing House, Tak Tin Estate",28/12/2022,
Kwun Tong,"Tak Lai House, Tak Tin Estate",28/12/2022,
Kwun Tong,"Tak Yee House, Tak Tin Estate",28/12/2022,
Kwun Tong,"Tak Lung House, Tak Tin Estate",28/12/2022,
Kwun Tong,"Block A, Telford Gardens",28/12/2022,
Kwun Tong,"Block D2, Telford Gardens",28/12/2022,
Kwun Tong,"Block D, Telford Gardens",28/12/2022,
Kwun Tong,"Block I2, Telford Gardens",28/12/2022,
Kwun Tong,"Block I, Telford Gardens",28/12/2022,
Kwun Tong,"Block L, Telford Gardens",28/12/2022,
Kwun Tong,"Block M, Telford Gardens",28/12/2022,
Kwun Tong,"Block N, Telford Gardens",28/12/2022,
Kwun Tong,"Block Q, Telford Gardens",28/12/2022,
Kwun Tong,"Block R, Telford Gardens",28/12/2022,
Kwun Tong,"Block S, Telford Gardens",28/12/2022,
Kwun Tong,"Block T, Telford Gardens",28/12/2022,
Kwun Tong,"Block U, Telford Gardens",28/12/2022,
Kwun Tong,Chun Wah Court,28/12/2022,
Kwun Tong,Sze Hing Building,28/12/2022,
Kwun Tong,King Hing Court,28/12/2022,
Kwun Tong,"Hiu Ming Court, Hiu Kwong Building",28/12/2022,
Kwun Tong,Hiu Wah Building,28/12/2022,
Kwun Tong,"Hiu Wo House, Hiu Lai Court",28/12/2022,
Kwun Tong,"Hiu Tin House, Hiu Lai Court",28/12/2022,
Kwun Tong,"Hiu On House, Hiu Lai Court",28/12/2022,
Kwun Tong,"Hiu Sing House, Hiu Lai Court",28/12/2022,
Kwun Tong,"Hiu Ching House, Hiu Lai Court",28/12/2022,
Kwun Tong,"Hiu Fai House, Hiu Lai Court",28/12/2022,
Kwun Tong,"Hiu Yat House, Hiu Lai Court",28/12/2022,
Kwun Tong,"Hiu Shun House, Hiu Lai Court",28/12/2022,
Kwun Tong,"Tower 2, Maya",28/12/2022,
Kwun Tong,"Block 1, Yuet Ming Building",28/12/2022,
Kwun Tong,"Block 3, Yuet Ming Building",28/12/2022,
Kwun Tong,"Block 1, Woodview Court",28/12/2022,
Kwun Tong,Joyful Villas,28/12/2022,
Kwun Tong,"Shun Wah House, Lok Wah North Estate",28/12/2022,
Kwun Tong,"Kan Wah House, Lok Wah North Estate",28/12/2022,
Kwun Tong,"Ning Wah House, Lok Wah North Estate",28/12/2022,
Kwun Tong,"Yan Wah House, Lok Wah North Estate",28/12/2022,
Kwun Tong,"Ping Wah House, Lok Wah North Estate",28/12/2022,
Kwun Tong,"Tat Wah House, Lok Wah North Estate",28/12/2022,
Kwun Tong,"Hei Wah House, Lok Wah South Estate",28/12/2022,
Kwun Tong,"Wun Wah House, Lok Wah South Estate",28/12/2022,
Kwun Tong,"On Wah House, Lok Wah South Estate",28/12/2022,
Kwun Tong,"Chin Wah House, Lok Wah South Estate",28/12/2022,
Kwun Tong,"Man Wah House, Lok Wah South Estate",28/12/2022,
Kwun Tong,"Fai Wah House, Lok Wah South Estate",28/12/2022,
Kwun Tong,"Nga Wo House, Lok Nga Court",28/12/2022,
Kwun Tong,"Nga Yee House, Lok Nga Court",28/12/2022,
Kwun Tong,"Nga Tsui House, Lok Nga Court",28/12/2022,
Kwun Tong,"Nga Ching House, Lok Nga Court",28/12/2022,
Kwun Tong,Wing Ning Mansion,28/12/2022,
Kwun Tong,Wing Ming Building,28/12/2022,
Kwun Tong,"Tower 2, Yau Tong Centre",28/12/2022,
Kwun Tong,"Tower 4, Yau Tong Centre",28/12/2022,
Kwun Tong,"Tower 5, Yau Tong Centre",28/12/2022,
Kwun Tong,"Tower 6, Yau Tong Centre",28/12/2022,
Kwun Tong,"Tower 7, Yau Tong Centre",28/12/2022,
Kwun Tong,"Tower 8, Yau Tong Centre",28/12/2022,
Kwun Tong,"Tower 9, Yau Tong Centre",28/12/2022,
Kwun Tong,"Fu Tong House, Yau Tong Estate",28/12/2022,
Kwun Tong,"Wing Tong House, Yau Tong Estate",28/12/2022,
Kwun Tong,"Mei Tong House, Yau Tong Estate",28/12/2022,
Kwun Tong,"Wah Tong House, Yau Tong Estate",28/12/2022,
Kwun Tong,"Kwai Tong House, Yau Tong Estate",28/12/2022,
Kwun Tong,"Shuk Mei House, Yau Mei Court",28/12/2022,
Kwun Tong,"Wai Mei House, Yau Mei Court",28/12/2022,
Kwun Tong,"Yun Mei House, Yau Mei Court",28/12/2022,
Kwun Tong,"Chak Mei House, Yau Mei Court",28/12/2022,
Kwun Tong,"To Mei House, Yau Mei Court",28/12/2022,
Kwun Tong,"Ying Mei House, Yau Mei Court",28/12/2022,
Kwun Tong,"Ho Mei House, Yau Mei Court",28/12/2022,
Kwun Tong,"Wing Mei House, Yau Chui Court",28/12/2022,
Kwun Tong,"Yeung Mei House, Yau Chui Court",28/12/2022,
Kwun Tong,"Yan Lai House, Yau Lai Estate",28/12/2022,
Kwun Tong,"Hong Lai House, Yau Lai Estate",28/12/2022,
Kwun Tong,"Chi Lai House, Yau Lai Estate",28/12/2022,
Kwun Tong,"Ying Lai House, Yau Lai Estate",28/12/2022,
Kwun Tong,"Bik Lai House, Yau Lai Estate",28/12/2022,
Kwun Tong,"Sau Lai House, Yau Lai Estate",28/12/2022,
Kwun Tong,"Tsui Lai House, Yau Lai Estate",28/12/2022,
Kwun Tong,"Yat Lai House, Yau Lai Estate",28/12/2022,
Kwun Tong,"Nga Lai House, Yau Lai Estate",28/12/2022,
Kwun Tong,"Yung Lai House, Yau Lai Estate",28/12/2022,
Kwun Tong,"Yi Lai House, Yau Lai Estate",28/12/2022,
Kwun Tong,"Tower 1A, One East Coast",28/12/2022,
Kwun Tong,"Tower 2, One East Coast",28/12/2022,
Kwun Tong,"Block B, Amoy Gardens",28/12/2022,
Kwun Tong,"Block C, Amoy Gardens",28/12/2022,
Kwun Tong,"Block D, Amoy Gardens",28/12/2022,
Kwun Tong,"Block E, Amoy Gardens",28/12/2022,
Kwun Tong,"Block F, Amoy Gardens",28/12/2022,
Kwun Tong,"Block G, Amoy Gardens",28/12/2022,
Kwun Tong,"Block H, Amoy Gardens",28/12/2022,
Kwun Tong,"Block I, Amoy Gardens",28/12/2022,
Kwun Tong,"Block J, Amoy Gardens",28/12/2022,
Kwun Tong,"Block K, Amoy Gardens",28/12/2022,
Kwun Tong,"Block L, Amoy Gardens",28/12/2022,
Kwun Tong,"Block N, Amoy Gardens",28/12/2022,
Kwun Tong,"Block O, Amoy Gardens",28/12/2022,
Kwun Tong,"Block P, Amoy Gardens",28/12/2022,
Kwun Tong,"Block Q, Amoy Gardens",28/12/2022,
Kwun Tong,"Block R, Amoy Gardens",28/12/2022,
Kwun Tong,"Block S, Amoy Gardens",28/12/2022,
Kwun Tong,8 Clear Water Bay Road,28/12/2022,
Kwun Tong,"Sheung Fu House, Upper Ngau Tau Kok Estate",28/12/2022,
Kwun Tong,"Sheung Hong House, Upper Ngau Tau Kok Estate",28/12/2022,
Kwun Tong,"Sheung Yuet House, Upper Ngau Tau Kok Estate",28/12/2022,
Kwun Tong,"Sheung Wing House, Upper Ngau Tau Kok Estate",28/12/2022,
Kwun Tong,"Sheung Mun House, Upper Ngau Tau Kok Estate",28/12/2022,
Kwun Tong,"Sheung Hing House, Upper Ngau Tau Kok Estate",28/12/2022,
Kwun Tong,"Kwai Leung House, Lower Ngau Tau Kok Estate",28/12/2022,
Kwun Tong,"Kwai Sun House, Lower Ngau Tau Kok Estate",28/12/2022,
Kwun Tong,"Kwai Yuet House, Lower Ngau Tau Kok Estate",28/12/2022,
Kwun Tong,"Kwai Wah House, Lower Ngau Tau Kok Estate",28/12/2022,
Kwun Tong,"Kwai Fai House, Lower Ngau Tau Kok Estate",28/12/2022,
Kwun Tong,"Kwai Hin House, Lower Ngau Tau Kok Estate",28/12/2022,
Kwun Tong,Shui Wo Building,28/12/2022,
Kwun Tong,"Wo Hang House, Cheung Wo Court",28/12/2022,
Kwun Tong,"Wo Yuet House, Cheung Wo Court",28/12/2022,
Kwun Tong,"Wo Shing House, Cheung Wo Court",28/12/2022,
Kwun Tong,"Wo Tung House, Cheung Wo Court",28/12/2022,
Kwun Tong,Mascot Mansions,28/12/2022,
Kwun Tong,"Sau Ho House, Sau Mau Ping South Estate",28/12/2022,
Kwun Tong,"Sau Tak House, Sau Mau Ping South Estate",28/12/2022,
Kwun Tong,"Sau Wong House, Sau Mau Ping South Estate",28/12/2022,
Kwun Tong,"Sau Mei House, Sau Mau Ping South Estate",28/12/2022,
Kwun Tong,"Block 1, Sau Mau Ping Disciplined Services Quarters",28/12/2022,
Kwun Tong,"Block 2, Sau Mau Ping Disciplined Services Quarters",28/12/2022,
Kwun Tong,"Sau Wo House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau On House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau Fu House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau Hong House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau Ming House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau King House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau Fai House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau Lok House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau Yun House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau Ching House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau Chi House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau Yee House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau Wah House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau Yue House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau Yin House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau Yat House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Sau Nga House, Sau Mau Ping Estate",28/12/2022,
Kwun Tong,"Tsui Pak House, Tsui Ping North Estate",28/12/2022,
Kwun Tong,"Tsui Lau House, Tsui Ping North Estate",28/12/2022,
Kwun Tong,"Tsui To House, Tsui Ping North Estate",28/12/2022,
Kwun Tong,"Tsui Mui House, Tsui Ping North Estate",28/12/2022,
Kwun Tong,"Tsui Tsz House, Tsui Ping North Estate",28/12/2022,
Kwun Tong,"Tsui Yeung House, Tsui Ping North Estate",28/12/2022,
Kwun Tong,"Tsui Nam House, Tsui Ping North Estate",28/12/2022,
Kwun Tong,"Tsui Mei House, Tsui Ping North Estate",28/12/2022,
Kwun Tong,"Tsui Yung House, Tsui Ping North Estate",28/12/2022,
Kwun Tong,"Tsui Cheung House, Tsui Ping North Estate",28/12/2022,
Kwun Tong,"Tsui Tung House, Tsui Ping South Estate",28/12/2022,
Kwun Tong,"Tsui Wing House, Tsui Ping South Estate",28/12/2022,
